account_id,adset_id,name,spend,revenue,roi,should_scale,condition_met,reason,scaled,scaling_result
act_1172700037197465,120238820447760346,BM5_1_AUTOI9-FP-T-AUTO_KnowTariffV2_Agustina_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120238753836530346,BM5_1_AUTOI9-FP-T-AUTO_EmergencyOrder_Lucas_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120238753836510346,BM5_1_AUTOI9-FP-T-AUTO_LongestShotdown_Lucas_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120238699543820346,BM5_1_AUTOI9-FP-T-AUTO_ChecksV3_Agostina_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120238699543710346,BM5_1_AUTOI9-FP-T-AUTO_Checks_Agostina_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120238469632740346,BM5_1_AUTOI9-FP-T-Auto_HarrasingGroceries_Clara_RS,1.69,0.0,-100.0,False,,"No cumple condiciones de escalado (spend: $1.69, ROI: -100.00%)",False,
act_1172700037197465,120238402025070346,BM5_1_AUTOI9-FP-AUTO_HeAskedHerv1_Daniel-CC2_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120238402024980346,BM5_1_AUTOI9-FP-AUTO_HeAskedHerv1_Daniel-BC_RS,0.45,0.0,-100.0,False,,"No cumple condiciones de escalado (spend: $0.45, ROI: -100.00%)",False,
act_1172700037197465,120238401691670346,BM5_1_AUTOI9-FP-T-AUTO_ReverseDollar_Agostina_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120238401691270346,BM5_1_AUTOI9-FP-T-Auto_PodcastInterview_Clara_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120238144354740346,BM5_1_AUTOI9-FP-T-AUTO_AirrynLovesICE2_Dante_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120237415463790346,BM5_1_AUTOISF-FP-AUTO_SenInsruance_3_Manel_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120236189861590346,BM5_1_AUTOI9-FP-T-AUTO_AllAmericansV4_Daniel_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1172700037197465,120236189861470346,BM5_1_AUTOI9-FP-T-Auto_PolicyReform_Agustin_RS,0.0,0.0,0.0,False,,"No cumple condiciones de escalado (spend: $0.00, ROI: 0.00%)",False,
act_1192065285119034,120240036144200668,BM5_1_AUTOI10-FP-T-AUTO_73yearold_v1_Daniel_RS,62.66,89.51,42.85030322374722,False,,"No cumple condiciones de escalado (spend: $62.66, ROI: 42.85%)",False,
act_1191638479359701,120236771655430637,BM5_1_AUTOI11-FP-T-AUTO_TaxRefunds_Agostina_RS,17.92,0.0,-100.0,False,,"No cumple condiciones de escalado (spend: $17.92, ROI: -100.00%)",False,
